File Name	group	condition	replicate	BatchMS	vs
QEHFX_JB_000379	K	0h	1	1	
QEHFX_JB_000380	K	0h	2	1	
QEHFX_JB_000381	K	0h	3	1	
QEHFX_JB_000382	K	0h	4	1	
QEHFX_JB_000383	K	0h	5	1	
QEHFX_JB_000384	K	24h	1	1	
QEHFX_JB_000385	K	24h	2	1	
QEHFX_JB_000386	K	24h	3	1	
QEHFX_JB_000387	K	24h	4	1	
QEHFX_JB_000388	K	24h	5	1	
QEHFX_JB_000389	K	12h	1	1	
QEHFX_JB_000390	K	12h	2	1	
QEHFX_JB_000391	K	12h	3	1	
QEHFX_JB_000392	K	12h	4	1	
QEHFX_JB_000393	K	12h	5	1	
QEHFX_JB_000394	K	2h	1	1	
QEHFX_JB_000395	K	2h	2	1	
QEHFX_JB_000396	K	2h	3	1	
QEHFX_JB_000397	K	2h	4	1	
QEHFX_JB_000398	K	2h	5	1	
QEHFX_JB_000399	IFN30	24h	1	1	
QEHFX_JB_000400	IFN30	24h	2	1	
QEHFX_JB_000401	IFN30	24h	3	1	
QEHFX_JB_000402	IFN30	24h	4	1	
QEHFX_JB_000403	IFN30	24h	5	1	
QEHFX_JB_000404	IFN30	16h	1	1	12h
QEHFX_JB_000405	IFN30	16h	2	1	12h
QEHFX_JB_000406	IFN30	16h	3	1	12h
QEHFX_JB_000407	IFN30	16h	4	1	12h
QEHFX_JB_000408	IFN30	16h	5	1	12h
QEHFX_JB_000409	IFN30	20h	1	1	24h
QEHFX_JB_000410	IFN30	20h	2	1	24h
QEHFX_JB_000411	IFN30	20h	3	1	24h
QEHFX_JB_000412	IFN30	20h	4	1	24h
QEHFX_JB_000413	IFN30	20h	5	1	24h
QEHFX_JB_000414	IFN30	4h	1	1	2h
QEHFX_JB_000415	IFN30	4h	2	1	2h
QEHFX_JB_000416	IFN30	4h	3	1	2h
QEHFX_JB_000417	IFN30	4h	4	1	2h
QEHFX_JB_000418	IFN30	4h	5	1	2h
QEHFX_JB_000419	IFN30	7h	1	1	12h
QEHFX_JB_000420	IFN30	7h	2	1	12h
QEHFX_JB_000421	IFN30	7h	3	1	12h
QEHFX_JB_000422	IFN30	7h	4	1	12h
QEHFX_JB_000423	IFN30	7h	5	1	12h
QEHFX_JB_000424	IFN30	30min	1	1	0h
QEHFX_JB_000425	IFN30	30min	2	1	0h
QEHFX_JB_000426	IFN30	30min	3	1	0h
QEHFX_JB_000427	IFN30	30min	4	1	0h
QEHFX_JB_000428	IFN30	30min	5	1	0h
QEHFX_JB_000429	IFN30	1h	1	1	0h
QEHFX_JB_000430	IFN30	1h	2	1	0h
QEHFX_JB_000431	IFN30	1h	3	1	0h
QEHFX_JB_000432	IFN30	1h	4	1	0h
QEHFX_JB_000433	IFN30	1h	5	1	0h
QEHFX_JB_000434	IFN30	3h	1	1	2h
QEHFX_JB_000435	IFN30	3h	2	1	2h
QEHFX_JB_000436	IFN30	3h	3	1	2h
QEHFX_JB_000437	IFN30	3h	4	1	2h
QEHFX_JB_000442	IFN30	0h	1	1	2h
QEHFX_JB_000443	IFN30	0h	2	1	
QEHFX_JB_000444	IFN30	0h	3	1	
QEHFX_JB_000445	IFN30	0h	4	1	
QEHFX_JB_000446	IFN30	0h	5	1	
QEHFX_JB_000447	IFN30	2h	1	1	2h
QEHFX_JB_000448	IFN30	2h	2	1	2h
QEHFX_JB_000449	IFN30	2h	3	1	2h
QEHFX_JB_000450	IFN30	2h	4	1	2h
QEHFX_JB_000451	IFN30	2h	5	1	2h
QEHFX_JB_000452	IFN30	12h	1	1	12h
QEHFX_JB_000453	IFN30	12h	2	1	12h
QEHFX_JB_000454	IFN30	12h	3	1	12h
QEHFX_JB_000455	IFN30	12h	4	1	12h
QEHFX_JB_000456	IFN30	12h	5	1	12h
QEHFX_JB_000457	IFN1000	16h	1	1	12h
QEHFX_JB_000458	IFN1000	16h	2	1	12h
QEHFX_JB_000459	IFN1000	16h	3	1	12h
QEHFX_JB_000460	IFN1000	16h	4	1	12h
QEHFX_JB_000461	IFN1000	16h	5	1	12h
QEHFX_JB_000467	IFN1000	20h	1	1	24h
QEHFX_JB_000468	IFN1000	20h	2	1	24h
QEHFX_JB_000469	IFN1000	20h	3	1	24h
QEHFX_JB_000470	IFN1000	20h	4	1	24h
QEHFX_JB_000471	IFN1000	20h	5	1	24h
QEHFX_JB_000472	IFN1000	24h	1	1	24h
QEHFX_JB_000473	IFN1000	24h	2	1	24h
QEHFX_JB_000474	IFN1000	24h	3	1	24h
QEHFX_JB_000475	IFN1000	24h	4	1	24h
QEHFX_JB_000476	IFN1000	24h	5	1	24h
QEHFX_JB_000477	IFN1000	12h	1	1	12h
QEHFX_JB_000478	IFN1000	12h	2	1	12h
QEHFX_JB_000479	IFN1000	12h	3	1	12h
